Is_top_5_League,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
1,1,2,1,55.0,354,30.0,7495.0,0,0,14360000.0
1,1,2,1,53.0,272,24.0,8025.0,0,0,14231000.0
1,1,2,1,52.0,239,26.0,8277.0,1,0,14000000.0
1,1,2,1,121.0,498,32.0,8686.0,1,0,13962000.0
1,1,1,1,53.0,276,28.0,7856.0,0,0,13962000.0
1,1,2,1,1.0,70,22.0,7700.0,0,0,13948000.0
1,1,2,0,18.0,168,26.0,7774.0,0,0,13645000.0
1,1,2,0,61.0,256,30.0,8851.0,1,0,13645000.0
1,1,2,1,31.0,168,23.0,7755.0,1,0,13599000.0
1,1,2,1,44.0,293,29.0,7914.0,1,0,13342000.0
1,1,1,1,37.0,213,24.0,7664.0,1,0,13342000.0
1,1,1,1,63.0,192,24.0,8130.0,0,0,12664000.0
0,1,2,1,0.0,114,21.0,6812.0,0,0,12466000.0
1,1,2,1,25.0,135,23.0,7897.0,0,0,12466000.0
0,1,2,1,0.0,240,26.0,7500.0,0,0,12417000.0
0,1,0,0,9.0,286,31.0,7029.0,0,0,12256000.0
1,1,2,0,67.0,245,29.0,8300.0,0,0,12129000.0
1,1,2,1,21.0,104,21.0,7652.0,0,0,12129000.0
1,1,2,0,57.0,389,30.0,7250.0,0,0,12129000.0
1,1,2,1,6.0,114,22.0,8083.0,0,0,12129000.0
1,1,2,0,36.0,195,24.0,8015.0,1,0,12129000.0
1,1,2,1,46.0,335,32.0,8150.0,1,0,12129000.0
1,1,2,1,108.0,450,30.0,7878.0,0,0,12129000.0
1,1,2,0,31.0,242,28.0,8007.0,0,0,12129000.0
1,1,1,1,74.0,399,33.0,7752.0,1,0,12040000.0
1,1,1,1,64.0,182,27.0,7674.0,1,0,12000000.0
1,1,2,1,9.0,80,20.0,7802.0,0,0,12000000.0
1,1,2,1,16.0,226,26.0,7745.0,0,0,12000000.0
1,1,1,0,49.0,182,26.0,8301.0,1,0,11967000.0
1,1,0,1,112.0,338,36.0,7626.0,1,0,11967000.0
1,1,2,1,19.0,379,28.0,7146.0,0,0,11967000.0
1,1,1,0,111.0,412,31.0,8428.0,0,0,11947000.0
0,1,2,1,0.0,153,24.0,6569.0,0,0,11826000.0
1,1,0,0,20.0,163,23.0,7749.0,0,0,11664000.0
1,1,2,0,20.0,201,24.0,8233.0,0,0,11644000.0
1,1,2,1,8.0,115,22.0,8194.0,0,0,11522000.0
0,1,1,1,28.0,216,31.0,7500.0,1,0,11171000.0
1,1,2,0,40.0,346,32.0,6750.0,1,0,11110000.0
1,1,2,1,15.0,203,24.0,7960.0,0,0,10970000.0
1,1,1,1,45.0,260,27.0,7503.0,1,0,10970000.0
0,1,0,0,39.0,151,25.0,7266.0,0,0,10970000.0
1,1,2,1,90.0,485,32.0,7000.0,0,0,10948000.0
1,1,2,1,127.0,463,34.0,7290.0,0,0,10916000.0
1,1,2,0,13.0,92,22.0,7948.0,1,0,10916000.0
1,1,1,1,49.0,206,25.0,8530.0,0,0,10909000.0
1,1,2,0,76.0,422,33.0,8278.0,1,0,10613000.0
1,1,2,0,44.0,269,26.0,7238.0,0,0,10613000.0
1,1,2,1,48.0,238,26.0,8759.0,1,0,10613000.0
1,1,2,0,22.0,157,25.0,8040.0,0,0,10613000.0
1,1,2,1,31.0,193,25.0,7775.0,0,0,10471000.0
1,1,2,1,9.0,128,24.0,7765.0,0,0,10471000.0
1,1,0,1,78.0,365,29.0,8025.0,0,0,10400000.0
1,1,2,1,11.0,229,27.0,7500.0,0,0,10372000.0
1,1,2,1,36.0,345,31.0,7750.0,0,0,10372000.0
1,1,2,1,9.0,197,28.0,7785.0,0,0,10372000.0
1,1,2,1,13.0,302,28.0,7060.0,0,0,10309000.0
1,1,2,1,3.0,261,26.0,7964.0,0,0,10309000.0
1,1,1,1,122.0,422,31.0,7300.0,0,0,10309000.0
1,1,1,1,59.0,353,29.0,7100.0,1,0,10309000.0
1,1,2,1,91.0,287,30.0,7400.0,1,0,10260000.0
1,1,2,1,17.0,151,24.0,7772.0,0,0,10190000.0
1,1,2,1,38.0,206,28.0,7890.0,0,0,10006000.0
1,1,2,1,27.0,230,27.0,7457.0,0,0,10006000.0
1,1,2,1,43.0,278,27.0,9153.0,1,0,10006000.0
1,1,2,1,95.0,343,29.0,7847.0,1,0,10006000.0
0,1,2,1,65.0,466,35.0,6985.0,1,0,10000000.0
1,1,2,1,28.0,163,28.0,7500.0,0,0,9973000.0
0,1,2,0,0.0,245,29.0,7500.0,0,0,9973000.0
1,1,1,1,57.0,313,27.0,7130.0,1,0,9973000.0
0,1,2,1,2.0,124,24.0,7288.0,1,0,9973000.0
0,1,1,0,54.0,272,32.0,7531.0,1,0,9973000.0
1,1,0,0,64.0,364,29.0,8050.0,0,0,9703000.0
1,1,2,1,11.0,141,21.0,7020.0,1,0,9703000.0
1,1,2,1,8.0,170,25.0,8288.0,0,0,9703000.0
1,1,0,0,43.0,317,30.0,7783.0,1,0,9703000.0
1,1,2,1,88.0,299,29.0,7500.0,1,0,9615000.0
1,1,2,1,21.0,180,24.0,7943.0,1,0,9500000.0
0,1,1,0,74.0,346,32.0,6750.0,0,0,9478000.0
0,1,1,1,18.0,257,28.0,6800.0,0,0,9478000.0
1,1,2,1,64.0,423,30.0,7734.0,1,0,9455000.0
1,1,2,1,37.0,187,26.0,8505.0,1,0,9387000.0
1,1,2,1,9.0,362,32.0,7300.0,0,0,9274000.0
1,1,2,1,30.0,160,25.0,8300.0,1,0,9260000.0
1,1,2,0,3.0,153,26.0,7758.0,0,0,9260000.0
1,1,2,1,42.0,200,25.0,7789.0,0,0,9260000.0
1,1,2,1,45.0,257,26.0,8149.0,0,0,9260000.0
1,1,1,1,66.0,347,32.0,8377.0,0,0,9100000.0
1,1,0,1,69.0,465,34.0,7548.0,1,0,9100000.0
1,1,1,0,11.0,68,22.0,7308.0,1,0,9097000.0
1,1,2,0,16.0,116,23.0,7083.0,1,0,9097000.0
1,1,2,0,17.0,179,24.0,8022.0,0,0,9097000.0
1,1,2,1,60.0,339,26.0,7350.0,0,0,9097000.0
1,1,2,0,54.0,367,29.0,7515.0,0,0,9097000.0
1,1,2,1,19.0,410,32.0,7250.0,0,0,8975000.0
1,1,2,1,12.0,115,20.0,8221.0,0,0,8975000.0
1,1,0,1,8.0,343,29.0,7999.0,0,0,8975000.0
1,1,2,1,37.0,291,28.0,7819.0,1,0,8970000.0
1,1,2,1,19.0,171,24.0,8156.0,0,0,8923000.0
1,1,2,0,4.0,213,25.0,7838.0,0,0,8897000.0
0,1,2,1,0.0,257,29.0,6750.0,0,0,8603000.0
1,1,2,1,5.0,256,28.0,7063.0,0,0,8580000.0
1,1,2,1,66.0,327,29.0,7790.0,0,0,8580000.0
1,1,2,1,19.0,195,26.0,6737.0,1,0,8490000.0
1,1,1,1,30.0,145,23.0,8048.0,1,0,8490000.0
1,1,0,0,32.0,86,21.0,8122.0,0,0,8490000.0
1,1,1,0,16.0,134,24.0,7919.0,1,0,8490000.0
1,1,2,1,32.0,258,26.0,7793.0,0,0,8490000.0
1,1,1,1,76.0,461,34.0,7780.0,1,0,8477000.0
1,1,1,1,26.0,206,26.0,7450.0,0,0,8477000.0
1,1,0,1,17.0,309,29.0,7000.0,1,0,8477000.0
0,0,2,1,11.0,239,30.0,6900.0,1,0,8377000.0
1,1,1,0,53.0,154,26.0,7760.0,1,0,8360000.0
1,1,2,1,38.0,365,29.0,7785.0,1,0,8330000.0
1,1,2,1,10.0,137,20.0,8661.0,0,0,8277000.0
1,1,2,1,63.0,348,31.0,7250.0,1,0,8187000.0
0,1,0,1,55.0,370,30.0,6750.0,0,0,8165000.0
0,1,2,1,12.0,299,30.0,6808.0,1,0,8141000.0
1,1,2,1,14.0,186,23.0,7867.0,0,0,8035000.0
1,1,2,1,14.0,156,22.0,8425.0,0,0,8014000.0
1,1,2,1,24.0,389,33.0,7430.0,0,0,8014000.0
1,1,2,1,16.0,233,28.0,7590.0,1,0,8000000.0
1,1,0,0,41.0,190,22.0,7827.0,0,0,7978000.0
1,1,1,1,41.0,309,29.0,7320.0,1,0,7978000.0
0,1,2,1,131.0,613,39.0,6432.0,0,0,7978000.0
1,1,1,1,23.0,170,25.0,7464.0,1,0,7978000.0
1,1,2,1,46.0,303,30.0,7214.0,0,0,7884000.0
1,1,2,0,22.0,108,23.0,7704.0,0,0,7884000.0
1,1,2,1,11.0,132,25.0,7599.0,0,0,7884000.0
1,1,2,0,25.0,133,23.0,8462.0,0,0,7884000.0
1,1,2,1,42.0,184,26.0,7585.0,0,0,7884000.0
1,1,2,1,1.0,135,23.0,7665.0,0,0,7884000.0
1,1,1,1,51.0,231,28.0,7685.0,1,0,7884000.0
1,1,1,0,96.0,378,33.0,7057.0,1,0,7884000.0
1,1,2,1,19.0,405,33.0,7293.0,1,0,7779000.0
1,1,1,1,34.0,385,31.0,8674.0,0,0,7779000.0
1,1,2,1,17.0,210,25.0,7944.0,1,0,7729000.0
1,1,2,1,10.0,214,26.0,8043.0,0,0,7690000.0
1,1,2,1,49.0,218,27.0,7999.0,1,0,7592000.0
0,0,1,1,114.0,401,31.0,6970.0,0,0,7590000.0
1,1,2,0,30.0,185,31.0,7956.0,1,0,7580000.0
1,1,2,0,3.0,330,31.0,6740.0,0,0,7580000.0
1,1,2,1,21.0,76,19.0,7823.0,0,0,7500000.0
1,1,1,1,12.0,172,24.0,8556.0,0,0,7500000.0
0,0,2,1,8.0,316,30.0,7967.0,1,0,7500000.0
1,1,0,1,72.0,360,34.0,6850.0,0,0,7479000.0
1,1,1,1,71.0,395,29.0,7518.0,1,0,7479000.0
1,1,0,1,35.0,201,27.0,7250.0,1,0,7479000.0
1,1,2,1,56.0,413,33.0,7510.0,1,0,7410000.0
1,1,1,1,0.0,115,24.0,7563.0,1,0,7280000.0
1,1,1,0,3.0,78,22.0,7347.0,0,0,7277000.0
1,1,2,1,2.0,117,22.0,7100.0,0,0,7277000.0
1,1,2,0,11.0,220,26.0,7489.0,0,0,7277000.0
1,1,2,1,7.0,204,26.0,6630.0,0,0,7277000.0
1,1,0,1,2.0,306,30.0,6783.0,0,0,7277000.0
1,1,2,1,19.0,238,26.0,7916.0,0,0,7277000.0
1,1,2,0,59.0,236,26.0,8226.0,1,0,7277000.0
1,1,0,1,51.0,280,24.0,8688.0,1,0,7277000.0
1,1,2,0,3.0,188,25.0,7400.0,0,0,7277000.0
1,1,2,1,5.0,226,30.0,6903.0,1,0,7277000.0
1,1,1,1,32.0,163,22.0,7756.0,0,0,7277000.0
1,1,2,1,145.0,579,36.0,7000.0,0,0,7277000.0
1,1,2,0,1.0,218,25.0,7255.0,0,0,7277000.0
1,1,1,1,40.0,187,23.0,7897.0,0,0,7277000.0
1,1,2,1,29.0,254,30.0,6400.0,1,0,7277000.0
1,1,2,0,16.0,151,25.0,7794.0,1,0,7277000.0
1,1,0,1,27.0,339,32.0,7585.0,0,0,7152000.0
1,1,2,1,37.0,299,27.0,8093.0,1,0,7123000.0
1,1,0,1,46.0,208,25.0,7600.0,0,0,7040000.0
1,1,2,1,59.0,383,31.0,7291.0,0,0,7040000.0
0,0,2,1,54.0,474,32.0,7012.0,1,0,7001000.0
1,1,2,1,53.0,299,27.0,7030.0,0,0,6981000.0
1,1,2,1,43.0,524,34.0,7172.0,1,0,6981000.0
1,1,1,1,48.0,417,34.0,7407.0,0,0,6981000.0
1,1,2,1,62.0,335,31.0,6550.0,1,0,6981000.0
1,1,1,1,42.0,295,27.0,7740.0,0,0,6981000.0
0,0,1,0,109.0,418,35.0,6504.0,1,0,6949000.0
1,1,1,0,25.0,157,24.0,8468.0,0,0,6864000.0
1,1,0,1,49.0,261,27.0,7214.0,0,0,6811000.0
1,1,0,0,39.0,195,26.0,7597.0,0,0,6671000.0
1,1,2,1,1.0,213,25.0,7278.0,0,0,6671000.0
1,1,2,1,26.0,312,28.0,7715.0,0,0,6671000.0
1,1,2,1,17.0,154,24.0,7739.0,0,0,6671000.0
1,1,2,1,15.0,123,22.0,7565.0,1,0,6671000.0
1,1,0,0,34.0,214,27.0,7732.0,0,0,6671000.0
1,1,2,1,48.0,412,31.0,7460.0,1,0,6671000.0
1,1,1,1,67.0,321,28.0,6995.0,0,0,6671000.0
1,1,2,1,22.0,386,31.0,7630.0,1,0,6671000.0
1,1,2,1,106.0,579,35.0,6947.0,1,0,6500000.0
1,1,1,1,81.0,386,31.0,7000.0,0,0,6482000.0
1,1,1,1,115.0,416,30.0,7673.0,1,0,6482000.0
1,1,1,1,18.0,172,25.0,7159.0,0,0,6482000.0
1,1,0,1,10.0,329,30.0,7237.0,1,0,6481000.0
1,1,1,1,82.0,335,29.0,7615.0,0,0,6480000.0
1,1,2,1,7.0,195,29.0,6850.0,0,0,6480000.0
1,1,2,1,26.0,230,27.0,7355.0,0,0,6480000.0
1,1,2,1,19.0,275,29.0,6955.0,0,0,6480000.0
1,1,2,1,9.0,201,27.0,7365.0,0,0,6480000.0
1,1,2,1,27.0,256,27.0,7391.0,0,0,6475000.0
1,1,2,1,25.0,259,30.0,7400.0,0,0,6411000.0
0,0,0,0,29.0,440,30.0,7428.0,0,0,6408000.0
1,1,0,1,35.0,251,28.0,6850.0,0,0,6368000.0
1,1,2,1,45.0,255,27.0,7540.0,0,0,6256000.0
1,1,2,1,130.0,478,34.0,7340.0,1,0,6240000.0
1,1,2,1,0.0,29,17.0,7955.0,0,0,6232000.0
1,1,2,1,113.0,506,38.0,7835.0,0,0,6142000.0
1,1,2,0,10.0,291,31.0,7407.0,0,0,6064000.0
1,1,2,0,0.0,257,30.0,7350.0,1,0,6064000.0
1,1,2,1,0.0,55,20.0,6894.0,0,0,6064000.0
1,1,2,1,3.0,158,23.0,7460.0,0,0,6064000.0
1,1,0,0,49.0,148,29.0,6950.0,0,0,6064000.0
0,0,1,1,53.0,284,30.0,7133.0,1,0,6064000.0
1,1,1,0,78.0,282,30.0,7001.0,0,0,6064000.0
1,1,2,0,49.0,315,29.0,6744.0,0,0,6064000.0
1,1,0,0,56.0,366,28.0,7790.0,0,0,6064000.0
1,1,2,0,11.0,347,28.0,7565.0,0,0,6064000.0
1,1,1,0,69.0,198,25.0,7540.0,1,0,6064000.0
1,1,2,1,10.0,156,24.0,7736.0,0,0,6064000.0
1,1,2,0,18.0,240,30.0,7250.0,0,0,6064000.0
1,1,2,0,42.0,396,32.0,8023.0,1,0,6064000.0
1,1,2,0,37.0,281,27.0,6350.0,1,0,6064000.0
1,1,2,1,2.0,382,30.0,7259.0,0,0,6064000.0
1,1,2,1,44.0,201,27.0,6997.0,0,0,6064000.0
0,1,2,1,28.0,370,32.0,7000.0,0,0,6064000.0
1,1,1,1,0.0,28,19.0,6262.0,0,0,6064000.0
1,1,2,0,0.0,171,25.0,7812.0,0,0,6064000.0
1,1,2,1,1.0,229,34.0,7211.0,1,0,6064000.0
1,1,0,0,28.0,184,27.0,7546.0,0,0,6064000.0
1,1,2,0,1.0,167,26.0,6850.0,1,0,6064000.0
1,1,2,1,11.0,285,28.0,7460.0,1,0,6064000.0
1,1,0,0,48.0,282,29.0,7490.0,0,0,6064000.0
0,1,0,0,80.0,245,32.0,6500.0,0,0,6064000.0
1,1,2,0,0.0,153,25.0,7296.0,0,0,6064000.0
1,1,2,1,9.0,330,32.0,7150.0,1,0,6064000.0
1,1,1,0,54.0,219,26.0,7800.0,1,0,6064000.0
1,1,2,1,0.0,95,22.0,7361.0,0,0,6064000.0
1,1,2,0,0.0,72,21.0,7000.0,0,0,6064000.0
1,1,2,1,2.0,403,34.0,6700.0,1,0,6000000.0
1,1,2,1,23.0,159,24.0,7381.0,0,0,5983000.0
1,1,2,1,64.0,296,29.0,7400.0,0,0,5983000.0
1,1,0,0,54.0,221,28.0,7145.0,0,0,5983000.0
1,1,2,1,0.0,291,27.0,7598.0,0,0,5983000.0
1,1,2,1,5.0,44,20.0,7695.0,0,0,5983000.0
1,1,1,1,9.0,291,30.0,7585.0,0,0,5983000.0
0,0,2,1,0.0,223,27.0,6950.0,0,0,5960000.0
1,1,2,1,10.0,110,23.0,7775.0,1,0,5936000.0
1,1,2,1,0.0,41,21.0,7798.0,0,0,5936000.0
1,1,2,1,11.0,142,24.0,7613.0,0,0,5930000.0
0,0,2,1,39.0,314,29.0,6768.0,1,0,5877000.0
1,1,2,1,54.0,351,29.0,7726.0,0,0,5798000.0
1,1,2,0,11.0,242,25.0,7150.0,1,0,5770000.0
1,1,2,0,54.0,239,29.0,7938.0,1,0,5770000.0
1,1,2,1,30.0,147,29.0,6964.0,1,0,5761000.0
1,1,1,1,27.0,179,26.0,6715.0,1,0,5761000.0
1,1,2,0,11.0,131,26.0,7553.0,0,0,5761000.0
1,1,2,1,15.0,260,28.0,7250.0,1,0,5750000.0
1,1,0,0,48.0,237,27.0,7708.0,0,0,5686000.0
0,0,2,1,0.0,267,27.0,6820.0,0,0,5622000.0
1,1,2,1,3.0,144,26.0,7591.0,0,0,5570000.0
1,1,2,1,28.0,359,30.0,7700.0,0,0,5560000.0
1,1,0,1,60.0,315,28.0,7968.0,0,0,5560000.0
1,1,2,1,25.0,337,29.0,7639.0,1,0,5560000.0
1,1,2,1,13.0,276,28.0,7443.0,0,0,5560000.0
1,1,2,1,24.0,228,30.0,7117.0,1,0,5560000.0
1,1,2,1,49.0,324,32.0,6950.0,1,0,5560000.0
1,1,0,0,43.0,233,25.0,7274.0,0,0,5560000.0
1,1,2,1,6.0,398,30.0,7167.0,1,0,5550000.0
1,1,0,1,47.0,345,28.0,7551.0,0,0,5550000.0
0,1,2,1,2.0,303,36.0,6401.0,0,0,5488000.0
1,1,1,1,23.0,103,20.0,8243.0,1,0,5485000.0
1,1,2,1,9.0,142,23.0,7934.0,0,0,5485000.0
1,1,1,1,22.0,203,27.0,7140.0,0,0,5485000.0
1,1,2,1,12.0,360,33.0,5550.0,1,0,5485000.0
1,1,1,1,4.0,128,21.0,7102.0,0,0,5485000.0
1,1,0,0,24.0,231,26.0,7177.0,0,0,5458000.0
1,1,2,0,9.0,207,25.0,7497.0,1,0,5458000.0
0,0,2,1,32.0,255,26.0,7050.0,0,0,5458000.0
1,1,2,0,8.0,315,31.0,7650.0,0,0,5458000.0
1,1,1,0,45.0,210,26.0,8257.0,1,0,5458000.0
1,1,2,1,0.0,341,30.0,7500.0,0,0,5458000.0
1,1,2,1,0.0,155,23.0,7824.0,0,0,5458000.0
1,1,2,1,0.0,95,22.0,7497.0,0,0,5458000.0
1,1,2,0,70.0,484,35.0,6785.0,0,0,5458000.0
1,1,2,0,0.0,78,23.0,7350.0,0,0,5458000.0
1,1,2,1,16.0,400,32.0,6977.0,1,0,5385000.0
1,1,0,0,4.0,32,18.0,6356.0,0,0,5385000.0
1,1,2,1,13.0,184,30.0,6250.0,0,0,5385000.0
1,1,2,0,42.0,315,32.0,7256.0,0,0,5373000.0
1,1,2,1,0.0,251,28.0,7566.0,0,0,5345000.0
0,1,0,0,50.0,263,29.0,6770.0,0,0,5298000.0
1,1,0,1,53.0,362,31.0,7037.0,0,0,5288000.0
0,1,2,1,0.0,248,27.0,6511.0,0,0,5269000.0
0,0,0,1,96.0,545,34.0,7449.0,1,0,5250000.0
0,0,0,1,129.0,614,37.0,7440.0,0,0,5250000.0
1,1,2,1,0.0,294,30.0,6600.0,1,0,5200000.0
1,1,2,1,32.0,245,28.0,7625.0,0,0,5190000.0
1,1,2,1,6.0,181,23.0,7501.0,1,0,5190000.0
1,1,2,1,0.0,166,24.0,6793.0,0,0,5186000.0
1,1,2,1,0.0,198,25.0,6760.0,0,0,5155000.0
1,1,1,1,9.0,430,31.0,7041.0,1,0,5155000.0
1,1,2,1,25.0,341,29.0,7305.0,1,0,5155000.0
1,1,2,1,12.0,120,24.0,7271.0,1,0,5155000.0
1,1,2,0,1.0,383,31.0,7686.0,0,0,5155000.0
1,1,1,0,28.0,171,24.0,7223.0,0,0,5130000.0
1,1,1,1,60.0,190,24.0,7795.0,1,0,5130000.0
1,1,0,1,0.0,148,24.0,7150.0,0,0,5130000.0
1,1,2,1,32.0,237,28.0,6845.0,0,0,5130000.0
1,1,2,0,51.0,348,32.0,7553.0,1,0,5130000.0
1,1,2,0,10.0,158,27.0,7480.0,1,0,5130000.0
1,1,2,0,22.0,128,27.0,7197.0,1,0,5068000.0
0,1,0,0,26.0,55,24.0,6485.0,0,0,5056000.0
0,0,2,0,32.0,275,30.0,7459.0,1,0,5000000.0
1,1,1,1,81.0,222,28.0,7451.0,0,0,5000000.0
1,1,2,1,0.0,208,25.0,6770.0,1,0,5000000.0
1,1,2,1,23.0,320,28.0,7450.0,0,0,5000000.0
1,1,2,1,24.0,209,25.0,7470.0,0,0,4995000.0
1,1,1,1,21.0,310,31.0,7693.0,0,0,4986000.0
1,1,1,1,5.0,217,28.0,6800.0,0,0,4986000.0
1,1,1,1,51.0,334,33.0,6750.0,0,0,4986000.0
0,0,2,1,11.0,419,32.0,7772.0,0,0,4986000.0
1,1,2,1,1.0,397,33.0,6700.0,0,0,4986000.0
1,1,1,1,16.0,172,26.0,6950.0,0,0,4986000.0
1,1,2,1,47.0,332,30.0,6836.0,0,0,4983000.0
0,1,0,0,9.0,128,29.0,6259.0,0,0,4952000.0
1,1,2,1,0.0,62,21.0,6500.0,0,0,4940000.0
0,0,2,0,3.0,340,31.0,7103.0,0,0,4939000.0
1,1,0,0,94.0,471,34.0,7913.0,0,0,4870000.0
0,1,2,1,0.0,314,31.0,6500.0,0,0,4857000.0
1,1,2,1,0.0,218,26.0,7776.0,0,0,4852000.0
1,1,2,0,4.0,260,26.0,7711.0,0,0,4852000.0
1,1,2,0,0.0,170,27.0,6950.0,0,0,4852000.0
1,1,2,1,4.0,108,22.0,6750.0,1,0,4852000.0
1,1,2,0,0.0,118,24.0,7250.0,1,0,4852000.0
1,1,2,0,2.0,240,27.0,7675.0,0,0,4852000.0
1,1,0,0,30.0,167,25.0,7287.0,0,0,4852000.0
1,1,2,1,6.0,308,27.0,6753.0,0,0,4852000.0
0,1,2,0,26.0,554,36.0,6584.0,0,0,4852000.0
1,1,2,0,3.0,89,22.0,6746.0,1,0,4852000.0
1,1,2,1,6.0,376,31.0,6360.0,0,0,4852000.0
1,1,2,0,1.0,83,21.0,7000.0,0,0,4852000.0
1,1,0,0,70.0,478,31.0,6596.0,0,0,4852000.0
1,1,0,1,19.0,115,25.0,7056.0,0,0,4852000.0
1,1,2,1,1.0,295,26.0,7150.0,0,0,4852000.0
1,1,2,1,0.0,351,30.0,7257.0,0,0,4852000.0
1,1,0,0,24.0,122,23.0,7479.0,1,0,4852000.0
1,1,2,0,8.0,163,24.0,7371.0,1,0,4852000.0
1,1,1,0,63.0,224,27.0,6927.0,0,0,4852000.0
1,1,2,1,6.0,191,26.0,7000.0,1,0,4852000.0
1,1,2,1,0.0,108,23.0,7395.0,1,0,4852000.0
1,1,2,0,0.0,153,24.0,7400.0,0,0,4852000.0
1,1,1,1,6.0,70,20.0,7006.0,0,0,4852000.0
1,1,1,0,102.0,387,32.0,6750.0,0,0,4852000.0
1,1,0,0,41.0,147,26.0,7272.0,0,0,4852000.0
1,1,2,1,0.0,130,21.0,7500.0,0,0,4852000.0
0,1,2,1,35.0,205,28.0,6509.0,0,0,4816000.0
1,1,2,1,1.0,195,27.0,6989.0,1,0,4808000.0
1,1,2,1,78.0,388,34.0,6200.0,0,0,4787000.0
1,1,2,1,28.0,218,29.0,6400.0,1,0,4787000.0
1,1,1,0,8.0,133,22.0,7866.0,0,0,4752000.0
